,Unnamed: 0,Code,2012/13,income_decile,postcode,overcrowding,lat,long,deprivation_y
968,2267,E01002245,42670,3,RM1 4JQ,8,51.584461,0.17345,5
969,2947,E01002918,46830,5,KT4 7PX,8,51.377774,-0.26417199999999996,7
970,4659,E01004606,76600,10,SW151BA,8,51.466429999999995,-0.22203299999999998,9
971,212,E01000212,75030,10,NW116TU,8,51.578723,-0.18650899999999998,8
972,3853,E01003812,65590,9,TW110RA,8,51.432398,-0.347674,8
973,3730,E01003693,52120,7,IG1 3LA,8,51.568553,0.056688,6
974,736,E01000736,41820,3,BR5 2RL,8,51.406023,0.096952,3
975,2968,E01002940,45620,5,KT9 1AY,8,51.365406,-0.303177,6
976,1526,E01001526,54630,8,N14 6AT,8,51.637928,-0.118466,8
977,3940,E01003900,55340,8,TW2 5AU,8,51.439671999999995,-0.357923,4
978,4535,E01004479,83810,10,SW116AR,8,51.448557,-0.163294,8
979,662,E01000662,45510,4,BR2 8AA,8,51.389873,0.056786,5
980,2502,E01002479,49760,6,HA5 2FF,8,51.59102,-0.41319799999999995,6
981,4694,E01004641,61340,9,SW155AA,8,51.46358,-0.23816700000000002,5
982,4742,E01004687,174120,10,SW1W8EU,8,51.494505,-0.155106,8
983,880,E01000879,94200,10,NW3 1DJ,8,51.556053999999996,-0.179592,9
984,4554,E01004498,64760,9,SW170NZ,8,51.437459000000004,-0.18701600000000002,8
985,1712,E01033733,60130,9,SE100AF,8,51.492041,0.01701,7
986,3479,E01003445,70050,10,SW200AH,8,51.409695,-0.24581799999999998,8
987,1414,E01001412,46720,5,EN1 4DT,8,51.680834999999995,-0.051263,3
988,2924,E01002895,135330,10,SW109FE,8,51.486715000000004,-0.18489,7
989,717,E01000717,53780,7,BR2 0AB,8,51.40701,-0.004864,8
990,2163,E01002141,47460,5,HA3 6AA,8,51.604759,-0.327815,6
991,1,E01000002,107250,10,EC1Y4AG,8,51.520686,-0.090178,9
992,2678,E01002659,48700,6,TW3 2PA,8,51.466235,-0.347597,6
993,3415,E01003381,61100,9,SW200JS,8,51.40753,-0.228633,9
994,3456,E01003422,52860,7,SM4 4BZ,8,51.391727,-0.219541,8
995,4223,E01004181,46450,5,SM6 0NY,8,51.351349,-0.147549,6
996,3416,E01003382,65250,9,SW208BP,8,51.407565999999996,-0.222137,9
997,36,E01000037,47420,5,RM7 0PH,8,51.564977,0.184353,5
998,911,E01000910,91380,10,NW5 1AF,8,51.557765,-0.14468499999999998,8
999,2445,E01002422,44040,4,UB4 8AG,8,51.530271,-0.425597,6
1000,294,E01000294,51440,7,EN5 2NF,8,51.646134,-0.207279,6
1001,849,E01000848,88600,10,NW3 4AB,8,51.549752000000005,-0.167569,8
1002,779,E01000780,41540,3,SE9 4DG,8,51.430848,0.045822,4
1003,4202,E01004160,49350,6,SM1 2EG,8,51.361117,-0.20599,8
1004,2695,E01002676,56160,8,TW5 0TH,8,51.480171,-0.357678,6
1005,3024,E01002996,57570,8,KT5 9AT,8,51.38508,-0.291297,9
1006,2395,E01002374,42270,3,RM137AJ,8,51.532018,0.19256500000000001,5
1007,3453,E01003419,51730,7,SM4 4AB,8,51.384566,-0.224633,7
1008,1926,E01001907,79210,10,SW6 5LB,8,51.473024,-0.210292,8
1009,292,E01000292,54730,8,EN5 2AF,8,51.646133,-0.204258,7
1010,2543,E01002525,44350,4,UB7 7BP,8,51.507199,-0.474059,6
1011,2352,E01002330,43730,4,RM7 8AD,8,51.582344,0.16259300000000002,5
1012,2988,E01002960,57340,8,KT1 3RN,8,51.4108,-0.28034499999999996,10
1013,1654,E01001659,50070,6,SE128AL,8,51.45105,0.020156,5
1014,230,E01000230,53140,7,HA8 8SU,8,51.626077,-0.270345,8
1015,700,E01000700,53090,7,BR3 4JT,8,51.40511,-0.042085000000000004,6
1016,402,E01000401,41830,3,DA163AS,8,51.465255,0.106735,4
1017,2573,E01032577,49410,6,HA2 9QP,8,51.56804,-0.38400700000000004,7
1018,560,E01000563,55210,8,HA0 3JN,8,51.564617,-0.320241,8
1019,4572,E01004516,59990,9,SW166RZ,8,51.422484999999995,-0.148946,7
1020,281,E01000281,51970,7,N20 0AW,8,51.629862,-0.173677,5
1021,3683,E01003644,48060,5,IG2 6BQ,8,51.575103000000006,0.080941,6
1022,2488,E01002465,49890,6,HA4 6AJ,8,51.566652000000005,-0.41543800000000003,7
1023,3888,E01003847,70800,10,TW9 2AA,8,51.470511,-0.293916,9
1024,2156,E01002134,58020,8,HA1 3FG,8,51.567523,-0.336093,9
1025,1531,E01001531,64410,9,N13 4AT,8,51.625840000000004,-0.113273,9
1026,4367,E01032771,63700,9,E14 4AD,8,51.502986,-0.022088,5
1027,2892,E01002863,153420,10,SW1X0AT,8,51.494644,-0.158735,8
1028,993,E01000993,49730,6,CR0 6NG,8,51.383772,-0.068204,7
1029,566,E01000569,54760,8,HA0 3RU,8,51.570756,-0.310001,8
1030,4661,E01004608,70800,10,SW151AT,8,51.465451,-0.216212,6
1031,3736,E01003699,47670,5,IG6 3BD,8,51.603941999999996,0.09412999999999999,6
1032,256,E01000256,59780,9,NW7 2AW,8,51.607805,-0.23374499999999998,7
1033,3170,E01003142,43460,4,SW165EJ,8,51.414201,-0.13576300000000002,5
1034,4710,E01004649,95900,10,NW8 0LH,8,51.534181,-0.177033,8
1035,1603,E01001599,49550,6,SE9 3AJ,8,51.435157000000004,0.061625,6
1036,750,E01000750,46480,5,BR6 7AT,8,51.361332,0.065361,3
1037,2464,E01002441,46120,5,UB9 6AA,8,51.592678,-0.483771,4
1038,731,E01000731,40920,3,BR5 2HL,8,51.394506,0.096296,4
1039,3871,E01003830,57410,8,TW121AX,8,51.432023,-0.367792,8
1040,3336,E01003311,49460,6,SE232QQ,8,51.434236999999996,-0.042005,6
1041,2298,E01002276,39480,2,RM3 7LS,8,51.620003999999994,0.22521799999999997,3
1042,2321,E01002299,41780,3,RM3 0TL,8,51.598403999999995,0.23322800000000002,4
1043,2243,E01002222,46580,5,HA2 8FA,8,51.558126,-0.364205,7
1044,4185,E01004143,46390,5,SM1 1RT,8,51.367075,-0.19814400000000001,8
1045,3253,E01003223,49060,6,SE6 1HB,8,51.435998,-0.008851999999999999,6
1046,166,E01000166,53890,7,EN4 9AB,8,51.652028,-0.161962,6
1047,4600,E01004544,77970,10,SW128AS,8,51.447569,-0.156552,7
1048,4212,E01004170,48880,6,SM5 1AQ,8,51.36016,-0.153111,8
1049,460,E01000459,47070,5,DA144AA,8,51.426481,0.105038,7
1050,3952,E01033571,65190,9,TW9 4BL,8,51.474954,-0.281058,6
1051,894,E01000893,97350,10,NW3 2QD,8,51.555332,-0.165527,8
1052,3033,E01003005,47820,5,KT6 7LT,8,51.373151,-0.294629,9
1053,3691,E01003652,51640,7,IG2 6TS,8,51.580254,0.066815,8
1054,290,E01000290,51290,7,EN5 2AB,8,51.641252,-0.24062600000000003,4
1055,2873,E01002844,123180,10,SW3 5AR,8,51.483564,-0.172542,6
1056,3716,E01003678,54370,7,IG5 0DS,8,51.590835999999996,0.055673,8
1057,3947,E01003907,51430,7,TW2 7AA,8,51.451724,-0.367694,4
1058,2433,E01002410,44810,4,UB100DT,8,51.531116,-0.452571,5
1059,1616,E01001613,48040,5,SE9 1AA,8,51.449825,0.063191,4
1060,369,E01000367,38990,2,DA8 3BB,8,51.475319,0.173197,3
1061,1494,E01001494,46840,5,N13 5AP,8,51.624156,-0.091961,6
1062,2167,E01002145,47420,5,HA3 6AE,8,51.608812,-0.329558,5
1063,4121,E01004078,44950,4,CR0 4FL,8,51.369944,-0.12934600000000002,6
1064,1597,E01001593,58440,8,SE3 7BZ,8,51.477482,0.0237,7
